fecha,competicion,local,visitante,goles_local,goles_visitante
2023-01-02,AFF Championship,Thailand,Cambodia,3.0,1.0
2023-01-02,AFF Championship,Philippines,Indonesia,1.0,2.0
2023-01-03,AFF Championship,Vietnam,Myanmar,3.0,0.0
2023-01-03,AFF Championship,Malaysia,Singapore,4.0,1.0
2023-01-06,Gulf Cup,Iraq,Oman,0.0,0.0
2023-01-06,Gulf Cup,Yemen,Saudi Arabia,0.0,2.0
2023-01-06,AFF Championship,Indonesia,Vietnam,0.0,0.0
2023-01-07,Gulf Cup,Bahrain,United Arab Emirates,2.0,1.0
2023-01-07,Gulf Cup,Kuwait,Qatar,0.0,2.0
2023-01-07,AFF Championship,Malaysia,Thailand,1.0,0.0
2023-01-08,Friendly,Iceland,Estonia,1.0,1.0
2023-01-09,Friendly,Sweden,Finland,2.0,0.0
2023-01-09,Gulf Cup,Oman,Yemen,3.0,2.0
2023-01-09,Gulf Cup,Iraq,Saudi Arabia,2.0,0.0
2023-01-09,AFF Championship,Vietnam,Indonesia,2.0,0.0
2023-01-10,Gulf Cup,United Arab Emirates,Kuwait,0.0,1.0
2023-01-10,Gulf Cup,Qatar,Bahrain,1.0,2.0
2023-01-10,AFF Championship,Thailand,Malaysia,3.0,0.0
2023-01-12,Friendly,Finland,Estonia,0.0,1.0
2023-01-12,Friendly,Sweden,Iceland,2.0,1.0
2023-01-12,Gulf Cup,Iraq,Yemen,5.0,0.0
2023-01-12,Gulf Cup,Saudi Arabia,Oman,1.0,2.0
2023-01-13,Gulf Cup,Bahrain,Kuwait,1.0,1.0
2023-01-13,Gulf Cup,Qatar,United Arab Emirates,1.0,1.0
2023-01-13,AFF Championship,Vietnam,Thailand,2.0,2.0
2023-01-16,Gulf Cup,Iraq,Qatar,2.0,1.0
2023-01-16,Gulf Cup,Bahrain,Oman,0.0,1.0
2023-01-16,AFF Championship,Thailand,Vietnam,1.0,0.0
2023-01-19,Gulf Cup,Iraq,Oman,3.0,2.0
2023-01-25,Friendly,United States,Serbia,1.0,2.0
2023-01-28,Friendly,United States,Colombia,0.0,0.0
2023-02-22,Friendly,Grenada,Barbados,1.0,1.0
2023-02-26,Friendly,Grenada,Barbados,2.0,2.0
2023-03-03,Friendly,Grenada,Saint Lucia,1.0,2.0
2023-03-04,Friendly,Saint Barthélemy,Sint Maarten,5.0,1.0
2023-03-05,Friendly,Grenada,Saint Lucia,2.0,0.0
2023-03-10,Friendly,Saint Martin,Saint Barthélemy,3.0,2.0
2023-03-11,Friendly,Jamaica,Trinidad and Tobago,0.0,1.0
2023-03-12,Friendly,Guatemala,Panama,1.0,1.0
2023-03-14,Friendly,Jamaica,Trinidad and Tobago,0.0,0.0
2023-03-15,Friendly,Bangladesh,Malawi,1.0,1.0
2023-03-19,Friendly,Ethiopia,Rwanda,1.0,0.0
2023-03-20,Friendly,Fiji,Vanuatu,1.0,2.0
2023-03-21,Friendly,Maldives,Pakistan,1.0,0.0
2023-03-21,Friendly,Tahiti,New Caledonia,0.0,2.0
2023-03-22,Friendly,Honduras,El Salvador,1.0,0.0
2023-03-22,Tri Nation Tournament,India,Myanmar,1.0,0.0
2023-03-22,Tri Nation Tournament,Nepal,Laos,2.0,0.0
2023-03-22,Friendly,Republic of Ireland,Latvia,3.0,2.0
2023-03-22,African Cup of Nations qualification,Sierra Leone,São Tomé and Príncipe,2.0,2.0
2023-03-22,African Cup of Nations qualification,Benin,Rwanda,1.0,1.0
